ResponseId,LanguageHaveWorkedWith
1,C++;HTML/CSS;JavaScript;Objective-C;PHP;Swift
2,JavaScript;Python
3,Assembly;C;Python;R;Rust
4,JavaScript;TypeScript
5,Bash/Shell;HTML/CSS;Python;SQL
6,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Swift
7,HTML/CSS;JavaScript
8,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
9,HTML/CSS;JavaScript
10,C++;Python
11,C#;TypeScript
12,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
13,C;C++;Java;Perl;Ruby
14,C;C++;JavaScript;Python;R;SQL
15,JavaScript;SQL
16,Bash/Shell;Python
17,C#;HTML/CSS;Java;JavaScript;Node.js
18,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL
19,C++;Python
20,C;C++;HTML/CSS;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
21,Java;Python
22,JavaScript;Python
23,C#;HTML/CSS;Python
24,JavaScript;Python
25,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript
26,HTML/CSS;Julia;Python;R;SQL
27,C++;Python
28,Python
29,Bash/Shell;Haskell;JavaScript;SQL;TypeScript
30,Delphi;Java;SQL
31,HTML/CSS;JavaScript;Node.js;Python;TypeScript
32,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL
33,C++;HTML/CSS;JavaScript;PHP;SQL
34,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL
35,Bash/Shell;C;C#;C++;Java
36,C;C++;Java;Python
37,Assembly;C;Java;Kotlin;Rust
38,Go
39,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;TypeScript
40,C;C#;C++;HTML/CSS;JavaScript;Node.js;Python
41,C;C#;C++;Java;Kotlin;Python
42,Bash/Shell;C#;C++;Python
43,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;Scala;TypeScript
44,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL
45,HTML/CSS;JavaScript;Node.js;Python;R;SQL;TypeScript
46,C#;C++;JavaScript;PowerShell;SQL;TypeScript
47,
48,Java
49,C++;SQL
50,C;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
51,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA
52,C#;HTML/CSS;JavaScript;TypeScript
53,HTML/CSS;JavaScript;Node.js;Python;TypeScript
54,PowerShell
55,R
56,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript
57,Java;Kotlin;Swift
58,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL
59,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
60,Bash/Shell;C;JavaScript;Python;SQL
61,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
62,Python;R;VBA
63,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA
64,HTML/CSS;JavaScript;Node.js
65,HTML/CSS;JavaScript;Python
66,HTML/CSS;PHP;Python;SQL
67,HTML/CSS;Java;JavaScript;Matlab;Python;R;Scala;SQL
68,C#;VBA
69,Bash/Shell;JavaScript;Node.js;TypeScript
70,HTML/CSS;JavaScript;SQL;TypeScript
71,Bash/Shell;C;C++;Matlab;PowerShell;Python
72,Go;HTML/CSS;Java;JavaScript;SQL
73,HTML/CSS;JavaScript
74,Assembly;Bash/Shell;C;C#;PHP;PowerShell;Python;SQL
75,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
76,HTML/CSS;JavaScript;PHP
77,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript
78,HTML/CSS;Python;R
79,Kotlin
80,C#;Go;Java;Python
81,HTML/CSS;JavaScript;Node.js
82,Bash/Shell;Java;JavaScript;PHP;Python
83,Dart;HTML/CSS;JavaScript;PHP;TypeScript
84,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
85,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript
86,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript
87,C#;SQL;TypeScript
88,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python
89,C#;Clojure;Go;JavaScript;Python;SQL
90,C;C++;Java;JavaScript;Node.js;Python;R
91,JavaScript;Node.js;Python
92,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript
93,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript
94,HTML/CSS;Objective-C;Swift
95,Perl
96,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
